DateTime,Entries,UniqueIPs
1438948058,2,2
1438993009,3,3
1438998412,2,2
1439079409,3,3
1439084802,2,2
1439119028,2,2
1439164973,3,3
1439170351,2,2
1439192817,2,2
1439192817,2,2
1439195539,2,2
1439195539,2,2
1439195539,2,2
1439195539,2,2
1439200010,2,2
1439238744,2,2
1439251335,3,3
1439256756,2,2
1439337816,3,3
1439343156,2,2
1439424179,3,3
1439429556,2,2
1439510623,3,3
1439515952,2,2
1439597004,3,3
1439602353,2,2
1439648281,2,2
1439684215,3,3
1439689623,2,2
1439769826,3,3
1439775174,2,2
1439856142,3,3
1439861554,2,2
1439942574,3,3
1439947928,2,2
1440028994,4,4
1440034347,3,3
1440115336,4,4
1440120774,2,2
1440161230,2,2
1440201790,3,3
1440207169,2,2
1440289914,3,3
1440295504,2,2
1440374566,3,3
1440379950,2,2
1440460994,3,3
1440466346,2,2
1440547396,3,3
1440552769,2,2
1440633759,3,3
1440639160,2,2
1440669779,2,2
1440720219,3,3
1440725557,2,2
1440806591,3,3
1440811960,2,2
1440892989,3,3
1440898371,2,2
1440979359,3,3
1440986575,2,2
1441065793,3,3
1441071158,2,2
1441152234,3,3
1441157570,2,2
1441238548,3,3
1441243909,2,2
1441324948,3,3
1441330354,2,2
1441411392,3,3
1441416755,2,2
1441498665,3,3
1441504060,2,2
1441584180,3,3
1441589561,2,2
1441670581,3,3
1441675950,2,2
1441756955,3,3
1441762312,2,2
1441843344,3,3
1441848754,2,2
1441929795,3,3
1441935164,2,2
1442016179,3,3
1442021567,2,2
1442102541,3,3
1442107967,2,2
1442188991,3,3
1442194345,2,2
1442275340,3,3
1442280733,2,2
1442361759,3,3
1442367113,2,2
1442448164,3,3
1442453563,2,2
1442535425,3,3
1442540827,2,2
1442622744,3,3
1442628304,2,2
1442707379,3,3
1442712760,2,2
1442793765,3,3
1442799158,2,2
1442880164,3,3
1442885528,2,2
1442966575,3,3
1442971941,2,2
1443054732,3,3
1443060138,2,2
1443139378,3,3
1443144736,2,2
1443225751,3,3
1443231119,2,2
1443313945,3,3
1443319394,2,2
1443398541,3,3
1443403969,2,2
1443485007,3,3
1443490331,2,2
1443571384,3,3
1443576741,2,2
1443657751,3,3
1443663161,2,2
1443744191,3,3
1443749565,2,2
1443830587,3,3
1443835935,2,2
