DateTime,AddedIPs,RemovedIPs
1438745896,460,573
1438918486,999,3743
1439005465,509,582
1439091311,494,564
1439177687,392,521
1439264564,460,562
1439350479,467,595
1439436882,1705,624
1439523957,579,561
1439609730,3399,528
1439696093,2671,473
1439783658,759,539
1439868884,727,462
1439955423,540,490
1440042338,508,1468
1440128316,553,601
1440214494,515,3201
1440300892,2420,1950
1440387289,570,695
1440473683,4466,855
1440560090,583,1451
1440647631,603,827
1440732885,543,594
1440819305,595,633
1440905689,562,2057
1440992085,580,654
1441078493,508,3677
1441164886,669,586
1441251289,526,589
1441338441,1531,562
1441424088,550,580
1441510495,585,694
1441598103,630,632
1441683306,564,584
1441769705,542,568
1441856084,529,481
1441942873,507,1310
1442028893,544,485
1442115296,512,641
1442201695,464,603
1442288116,784,873
1442376015,1197,631
1442460885,545,586
1442547292,466,628
1442633696,488,600
1442720094,468,487
1442807322,521,514
1442893029,646,622
1442979282,468,1222
1443065922,468,584
1443152758,490,1265
1443238482,470,504
1443324897,3261,505
1443411282,3286,621
1443499834,520,586
1443584081,527,492
1443671484,562,599
1443756908,612,472
1443843286,650,527
1443931086,636,2891
1444016078,526,2773
1444102494,640,512
1444188903,579,588
1444276256,692,603
1444362884,578,557
1444449557,621,591
1444534482,611,546
1444620878,653,522
1444708451,584,590
1444793679,1635,571
1444880078,610,759
1444967154,695,624
1445052878,611,549
1445139294,572,650
1445225689,509,646
1445312076,645,582
1445398488,598,1390
1445485386,600,652
1445571284,656,717
1445657846,541,539
1445744080,596,556
1445831939,628,520
1445916880,623,978
1446003283,619,1088
1446089685,667,609
1446177938,794,634
1446262486,592,458
1446348889,567,560
1446435459,581,650
1446521679,589,710
1446694483,1001,1296
1446780879,573,670
1446867279,671,641
1446953693,513,611
1447040086,482,589
1447126484,441,605
1447212931,471,535
1447299300,500,551
1447385681,542,623
1447472085,526,631
1447558485,634,518
1447644723,93,1281
1447731123,757,476
1447817523,635,510
1447903922,692,543
1447990322,617,675
1448076722,716,533
1448163126,739,139
1448250252,547,210
1448335922,550,689
1448422326,492,553
1448508724,681,617
1448595123,943,562
1448681522,870,618
1448768072,1229,637
1448940726,1428,1132
1449027124,735,473
1449113523,704,744
1449199925,701,676
1449286325,745,689
1449372729,743,1221
1449459214,652,569
1449545523,803,724
1449631927,667,675
1449718326,693,642
1449804784,763,631
1449891125,809,639
1449977775,639,675
1450063926,629,649
1450150325,582,580
1450236725,664,528
1450323125,601,659
1450409525,629,689
1450495924,692,719
1450582324,682,650
1450668961,662,649
1450755174,635,543
1450841527,614,663
1451619389,4116,4740
1451705585,599,511
1451792014,462,586
1451878367,514,504
1451964725,501,600
1452051160,508,617
1452137527,527,592
1452223926,574,602
1452310326,639,601
1452396728,470,525
1452483294,560,511
1452569570,573,502
1452655924,431,532
1452742325,483,558
1452828725,607,519
1452915126,481,563
1453001659,431,497
1453088016,579,574
1453174362,481,606
1453260728,543,514
1453347125,539,557
1453433528,537,519
1453519928,471,518
1453606326,496,527
1453692902,486,616
1453779181,565,582
1453865525,483,514
1453951924,472,558
1454038324,458,617
1454124726,510,530
1454211294,476,501
1454297609,420,548
1454383924,478,619
1454470325,608,562
1454556725,552,525
1454643127,491,525
1454729526,513,516
1454816233,485,507
1454902326,478,510
1454988931,513,565
1455161525,1137,1063
1455247927,638,513
1455334326,684,572
1455421296,544,499
1455507124,494,518
1455593524,398,485
1455679926,500,585
1455766327,625,552
1455852724,612,615
1455939146,624,673
1456025524,409,610
1456112140,436,578
1456198378,415,480
1456284727,425,479
1456371127,477,668
1456457526,478,574
1456543924,483,623
1456630326,511,438
1456716726,455,497
1456803130,621,644
1456889525,622,553
1456975924,784,450
1457062327,579,462
1457148725,551,486
1457235126,586,525
1457321525,522,515
1457407925,613,619
1457494328,512,556
1457580725,426,639
1457667124,508,517
1457753525,476,533
1457839931,424,559
1457926478,677,592
1458012786,482,691
1458099125,535,593
1458185528,413,509
1458271927,438,604
1458358327,506,563
1458444832,520,503
1458531201,534,577
1458617525,394,574
1458703927,438,536
1458790327,476,453
1458876729,471,432
1458963125,517,542
1459045925,486,523
1459132327,494,582
1459218725,470,411
1459305232,510,348
1459391593,553,367
1459477928,489,466
1459564327,497,488
1459650770,503,468
1459737185,424,455
1459823527,399,565
1459909929,469,548
1459996327,495,592
1460082725,654,528
1460176324,523,507
1460262875,388,473
1460349299,353,443
1460435572,397,443
1460521924,504,476
1460608325,429,429
1460694724,418,545
1460781124,473,512
1460867523,569,404
1460953977,476,474
1461040324,490,504
