DateTime,AddedIPs,RemovedIPs
1434672260,1375,2684
1434715424,1228,17
1434758607,1516,2384
1434801816,1007,0
1434845011,869,2096
1434888204,791,0
1434974608,2123,2654
1435017813,1334,2508
1435061000,1097,0
1435104474,1049,2755
1435147396,1208,0
1435190854,1372,2569
1435233798,1219,0
1435277005,853,2383
1435320203,956,2
1435363438,905,2258
1435449792,1946,4980
1435492996,786,0
1435536191,1171,2499
1435579409,1181,0
1435622592,1355,2702
1435665804,1394,0
1435708996,1211,2618
1435752209,1195,0
1435795410,1179,2587
1435838593,1335,0
1435924965,2167,50865
1435968167,1141,5800
1436011376,998,0
1436054566,1091,2118
1436097761,922,0
1436184177,2388,2482
1436227387,1158,3399
1436270576,1136,1
1436313837,1226,2818
1436356979,1131,0
1436400170,1350,2718
1436443373,1213,0
1436529759,2429,2591
1436572963,1013,2573
1436616168,1128,20
1436659360,1175,2246
1436702558,1050,0
1436788965,2114,2704
1436832176,1053,2563
1436875382,1334,0
1436918564,1122,2624
1436961772,1197,0
1437004958,876,2519
1437048175,1004,0
1437134574,1941,2627
1437177758,923,2206
1437220971,751,0
1437264157,895,2142
1437307359,701,0
1437350557,1160,2822
1437393765,1096,2
1437436953,957,2641
1437480171,1000,0
1437523361,898,2542
1437652956,2938,2686
1437696153,913,2329
1437739357,1036,0
1437782653,832,2470
1437825759,956,9
1437912161,1765,2730
1437955349,920,2186
1437998563,1037,0
1438041750,1904,2310
1438084955,1296,0
1438128144,1290,2409
1438171356,1210,0
1438214568,1200,2601
1438257766,1174,0
1438300961,1073,2288
1438387362,2006,2333
1438430556,913,0
1438473750,854,2159
1438516957,759,0
1438560187,909,2144
1438646600,2417,2012
1438689759,1286,1
1438732956,1112,2629
1438905752,4677,4740
1438948950,998,21
1438992154,1018,2289
1439035346,1147,0
1439078598,1058,2001
1439121741,753,0
1439164995,839,2379
1439251357,2496,2295
1439294532,1109,0
1439337756,1213,2263
1439380937,1120,0
1439424168,1059,2239
1439467333,1063,0
1439510567,886,2129
1439596968,2410,1766
1439640131,1379,0
1439683354,3777,1629
1439726534,1417,1
1439769754,1109,2199
1439812932,1034,0
1439856168,1123,2327
1439942567,7190,2310
1439985737,18116,0
1440028995,204692,2479
1440115369,3496,222776
1440158538,1052,0
1440201764,931,2203
1440244936,1009,0
1440288168,1009,1996
1440331337,842,0
1440417738,2053,2558
1440460971,888,2648
1440547371,2055,2870
1440590538,1143,0
1440633771,1376,2778
1440720169,1917,2332
1440763341,1158,2
1440849741,2158,2285
1440892978,972,2360
1440936143,848,0
1441022544,2006,2719
1441065774,955,2410
1441108947,1202,0
1441195346,2024,2565
1441238576,851,2483
1441281747,969,0
1441324980,1012,2421
1441368148,988,0
1441454548,1834,1985
1441497777,1023,1998
1441540948,745,0
1441584162,731,2540
1441670579,2090,2577
1441713749,978,0
1441756965,966,2297
1441843381,1911,2345
1441886550,948,0
1441929781,973,2271
1442016179,1921,2018
1442059356,913,0
1442102564,945,1991
1442188969,1594,2472
1442232154,1119,0
1442275383,974,2256
1442318558,1317,0
1442404955,1948,2241
1442448182,1025,2392
1442491359,1316,0
1442577762,2089,2283
1442620983,1235,1746
1442664162,1020,33
1442707368,870,1787
1442793771,1674,2509
1442836961,1090,2
1442880190,1011,2091
1442966594,2153,2437
1443009764,1223,0
1443052992,954,2081
1443139388,1834,1818
1443182561,713,0
1443225782,814,1910
1443312182,1518,1901
1443355359,639,0
1443398578,829,2558
1443484977,1747,2611
1443528158,1235,0
1443571367,1035,2346
1443614552,1122,0
1443700953,2024,2406
1443744168,906,2227
1443787350,899,1
1443830569,1042,2042
1443873749,959,0
1443916966,790,2119
1443960147,812,1
1444003367,851,2443
1444046547,1043,1
1444132947,2033,2290
1444176173,904,2365
1444219344,1122,0
1444262565,1006,2356
1444305746,1006,0
1444348957,964,2110
1444392142,1160,6
1444435359,978,2026
1444521757,1687,1948
1444564936,711,0
1444608154,870,2185
1444651336,1090,1
1444694554,956,2496
1444737739,973,43
1444780949,1095,1986
1444824132,1061,1
1444867346,837,1927
1444953743,1683,2033
1444996928,960,0
1445040145,874,1600
1445126540,1694,1833
1445169728,675,3
1445212949,784,2083
1445299336,1768,1936
1445342524,915,0
1445385735,775,1903
1445428924,951,0
1445515324,1781,1780
1445558537,856,1660
1445601719,835,0
1445644939,880,1936
1445731330,1692,1642
1445774519,495,0
1445817727,977,3406
1445860917,850,5
1445904126,871,2569
1445990527,1844,2376
1446033714,967,1
1446076924,893,2530
1446163325,1966,2054
1446206512,1042,2
1446249725,861,1861
1446292912,729,1
1446379312,1441,1566
1446465712,1637,2417
1446508921,814,2145
1446681724,3302,4340
1446724912,822,0
1446811310,1674,1952
1446897709,1557,1972
1446984111,1491,1609
1447070510,1564,2480
1447156911,1670,2396
1447243307,1629,2224
1447372917,2962,4300
1447416110,834,0
1447502504,1365,5898
1447588906,1238,2686
1447675304,1503,2200
1447761701,1777,7190
1447848099,1845,2510
1447934501,1891,3655
1448020899,1556,2092
1448107298,4684,1941
1448193697,1546,2059
1448280094,1588,2216
1448366494,1875,2161
1448452893,1710,2407
1448539295,1770,1970
1448625692,1774,1933
1448712090,1622,1936
1448798489,1620,1809
1448884888,1768,2117
1448971289,1831,2393
1449057685,2008,2022
1449144084,1942,2157
1449230487,2016,1941
1449316882,1782,1946
1449403284,1584,1555
1449532886,2659,4051
1449619284,2000,2140
1449705685,1782,2112
1449792088,1835,1758
1449878480,1846,1857
1449964881,1486,1471
1450051282,1268,1988
1450137675,1678,2320
1450224076,1997,2011
1450310480,1974,2346
1450396879,2216,2235
1450483277,1945,1901
1450569683,1839,1784
1450656077,1500,2209
1450742475,1611,2258
1450828872,1637,2241
1450915274,1629,1938
1451001676,1397,1668
1451088067,1289,1654
1451174475,1181,1447
1451260872,1176,1971
1451347270,1624,2139
1451433679,1796,2328
1451520073,1834,1983
1451606479,1690,2073
1451692885,1404,1742
1451779278,1788,1696
1451865677,1234,2280
1451952074,1830,1995
1452038474,1643,2265
1452124874,1812,2178
1452211273,1666,2223
1452297674,1818,1624
1452384070,1604,1720
1452470476,1623,2099
1452556870,2123,2093
1452643269,3067,2155
1452729667,2347,1827
1452816073,2027,1771
1452902463,2057,1619
1452988871,2233,1474
1453075268,1521,1875
1453161669,1783,1865
1453248064,2380,1810
1453334467,2125,1728
1453420865,2339,1756
1453507267,2200,1767
1453593667,2058,1644
1453680066,1786,1729
1453766464,2295,1819
1453852866,1903,1897
1453939265,1929,1921
1454025664,2386,2016
1454112062,2276,1759
1454198465,1887,1511
1454284864,1809,1731
1454371265,2013,1620
1454457664,1848,1751
1454544067,1724,1722
1454630465,1712,1582
1454716865,2411,1576
1454803262,1535,1506
1454889663,1391,1847
1454976062,1981,2132
1455062461,1699,1701
1455148860,1679,2067
1455235260,1927,1500
1455321661,2014,1296
1455408059,1659,1342
1455494460,1551,1733
1455580860,1633,1712
1455667257,1498,1801
1455753660,1745,1863
1455840059,1899,4540
1455926458,1570,1740
1456012856,1563,1605
1456099257,1353,1859
1456185657,1729,1716
1456272056,1919,1700
1456358455,1720,1822
1456444853,1927,1629
1456531254,1910,1781
1456617654,1711,1507
1456704056,1468,1839
1456790453,1704,1955
1456876855,2039,1877
1456963252,1986,2035
1457049654,2410,1932
1457136054,2057,1488
1457222456,2076,1779
1457308855,1694,1857
1457395257,2108,1985
1457481655,2141,1683
1457568059,2237,1784
1457654460,1777,1926
1457740858,2187,1526
1457827255,1866,1313
1457913655,1697,1705
1458000057,2614,1929
1458086456,2868,1821
1458172858,1808,2016
1458259254,2056,1824
1458345657,2423,1744
1458432057,2376,1518
1458518455,1601,1701
1458604856,1806,1569
1458691258,1654,1546
1458777659,1955,1347
1458864055,1499,1349
1458950461,1492,1120
1459036856,1671,1192
1459123257,1147,1626
1459209659,1525,1679
1459296059,2148,1764
1459382461,1956,1687
1459468860,1888,1488
1459555260,1814,1756
1459641659,1566,1262
1459728063,1203,1995
1459814459,1686,1595
1459900861,1598,1620
1459987268,1748,1585
1460073660,1597,1756
1460160065,1717,1493
1460246461,1364,1514
1460332859,1322,2200
1460419262,1591,2640
1460505661,1754,2216
1460592064,1917,1752
1460678460,1737,1952
1460764861,1501,1960
1460851262,1423,1493
1460937659,1250,1555
1461024063,1758,2275
1461110463,1855,1942
