DateTime,AddedIPs,RemovedIPs
1442769486,3,0
1443906005,3,0
1447735506,7,130390
1447822818,2,0
1447910286,3,0
1448085247,2,0
1448172552,2,0
1448260569,3,0
1448348406,4,0
1448435895,1,0
1448523374,4,0
1448610844,7,0
1448698148,2,0
1448785634,3,0
1448873109,4,0
1448960413,2,0
1449047886,5,0
1449135366,1,0
1449222847,3,0
1449397625,10,0
1449485107,2,0
1449572414,3,0
1449659885,34,0
1449747908,546,0
1449835204,7,0
1450010165,2,0
1450097644,394,0
1450184950,325,0
1450272425,1,0
1450359922,2,0
1450453531,4,0
1450541903,3,0
1450629364,1,0
1450716847,32,0
1450804151,1,0
1451330297,1194,0
1451505254,340,1
1451593629,3,0
1451681106,289,0
1451768404,136,0
1451855887,13,0
1451943370,265,2
1452031213,289,0
1452118685,3,0
1452206165,3,0
1452293649,2,0
1452555905,53,0
1452643204,6,0
1452730686,20,0
1452818166,14,0
1452905662,138,0
1452992947,0,1
1453167122,710,0
1453254247,0,3
1453341362,3,0
1453428486,131,0
1453515603,4,0
1453603213,6,0
1453777446,675,0
1453951688,550,0
1454038804,24,0
1454125923,1181,0
1454213043,1,0
1454300162,2209,1
1454387286,1233,0
1454474408,860,0
1454561526,1013,0
1454648642,578,0
1454735762,310,0
1454997123,831,1
1455084242,30,0
1455171608,324,0
1455345844,284,0
1455432968,25,0
1455520087,275,0
1455607203,430,1
1455694332,562,0
1455781443,885,0
1455868567,471,0
1455955686,540,0
1456042807,563,0
1456129925,27,0
1456217043,791,0
1456304163,613,0
1456391530,52,128
1456478886,160,0
1456566002,919,0
1456653127,1743,0
1456740246,1510,0
1456914484,3002,0
1457001604,1364,0
1457088733,13,0
1457175843,1968,0
1457262969,67715,0
1457437203,2269,0
1457524329,2576,0
1457698565,3117,0
1457785683,897,128
1457872804,726,0
1457959928,846,512
1458047047,779,0
1458134163,1335,0
1458221283,1305,0
1458308403,993,0
1458569763,3613,0
1458657373,5275,0
1458744485,2,0
1458831612,3034,0
1458918727,1,1
1460836086,37,0
1460923214,51,0
1461010333,82,0
1461097453,63101,0
