DateTime,AddedIPs,RemovedIPs
1434753930,15,8
1434840870,3,6
1434927618,4,5
1435014588,6,9
1435101504,10,4
1435188456,5,8
1435275405,28,2
1435362322,38,2
1435449256,25,6
1435536008,9,7
1435622971,7,12
1435709935,16,8
1435796828,4,12
1435883785,24,11
1435970710,16,9
1436057727,23,9
1436144434,8,11
1436231710,12,19
1436318297,5,54
1436405231,9,40
1436492184,9,7
1436613822,57,27
1436700427,12,7
1436787423,2,8
1436874313,8,6
1436961257,11,12
1437048018,10,14
1437134996,10,24
1437221986,15,43
1437308834,15,23
1437395795,36,9
1437482718,24,6
1437569661,11,7
1437660992,24,9
1437748075,43,6
1437835025,12,11
1437921911,11,18
1438008853,5,12
1438095649,7,12
1438182589,32,9
1438269503,15,14
1438356434,13,13
1438443391,16,20
1438530326,11,28
1438617284,6,26
1438704014,13,10
1438790972,17,6
1438948752,20,23
1439036060,8,8
1439123578,1,9
1439210188,13,41
1439297139,7,8
1439384059,13,3
1439470823,12,7
1439557778,9,10
1439644793,9,7
1439731651,17,8
1439818588,13,9
1439905560,16,7
1439992088,10,21
1440079229,21,22
1440166736,9,9
1440254225,19,43
1440341357,26,48
1440428438,14,8
1440515909,18,5
1440603390,14,8
1440690956,22,15
1440778228,34,100
1440865683,9,9
1440953156,10,12
1441041134,10,18
1441128443,11,11
1441215563,13,5
1441302866,12,15
1441390182,24,12
1441477294,27,4
1441564719,20,12
1441652090,16,4
1441739403,17,8
1441826934,16,10
1441914368,22,9
1442003314,23,10
1442090746,9,6
1442178060,7,9
1442265517,24,6
1442352722,30,3
1442440301,36,5
1442527395,33,12
1442614820,35,10
1442701833,19,11
1442789148,18,21
1442876486,14,18
1442963941,33,16
1443050947,30,16
1443138354,29,18
1443225388,27,6
1443312594,16,41
1443400101,18,15
1443487587,22,10
1443574852,30,12
1443661936,31,8
1443749331,31,10
1443836857,27,5
1443924345,20,9
1444011877,9,13
1444099324,31,10
1444186508,24,12
1444273844,23,8
1444361277,21,22
1444448780,22,11
1444536034,19,20
1444623540,14,16
1444711066,51,11
1444798511,32,7
1444885805,21,7
1444973275,38,31
1445060762,33,20
1445148094,16,9
1445244812,24,14
1445332174,28,8
1445419699,32,9
1445507143,26,14
1445594553,24,20
1445681967,17,18
1445769515,7,15
1445856893,17,14
1445944207,24,14
1446031682,28,10
1446119302,25,35
1446206430,28,20
1446293946,22,28
1446381426,10,16
1446470674,14,12
1446557833,28,11
1446645359,25,16
1446733515,18,25
1446824326,37,22
1446911365,32,21
1446998584,25,16
1447086013,19,10
1447173429,28,12
1447260883,30,27
1447348179,19,34
1447435694,24,19
1447523150,45,13
1447610442,15,34
1447697944,25,17
1447785415,36,17
1447872977,19,16
1447960478,20,25
1448049422,10,33
1448136590,6,24
1448224067,15,22
1448312014,12,12
1448402350,14,16
1448489390,14,16
1448578603,19,24
1448666132,21,21
1448753267,27,29
1448840783,19,16
1448928126,30,13
1449015514,29,9
1449103121,25,16
1449190460,26,21
1449277819,28,18
1449370837,16,28
1449458334,16,30
1449552921,25,19
1449640271,24,13
1449727835,21,22
1449815241,27,34
1449902304,26,15
1449989660,16,22
1450076999,22,44
1450164472,25,14
1450251957,22,22
1450339281,22,44
1450426725,26,23
1450513748,18,37
1450601174,9,23
1450688448,15,21
1450775542,14,13
1450862881,15,14
1450949934,8,25
1451037281,12,20
1451129557,23,20
1451216769,15,18
1451304073,15,25
1451391298,22,20
1451478449,8,12
1451565941,23,19
1451653288,11,17
1451740720,12,20
1451828216,9,35
1451915665,16,23
1452002993,19,15
1452090017,22,18
1452177497,15,28
1452312113,13,52
1452399552,9,23
1452487120,15,39
1452574501,18,15
1452661842,24,32
1452749307,19,24
1452836772,21,29
1452924151,23,36
1453011585,15,26
1453098823,17,27
1453185887,20,13
1453273009,15,15
1453360140,23,20
1453447257,23,20
1453534381,22,15
1453621517,14,8
1453708619,16,17
1453796021,19,21
1453883095,20,16
1453970468,18,21
1454057568,18,9
1454144707,21,14
1454231810,12,10
1454318943,23,19
1454406059,10,13
1454493288,18,17
1454580393,23,11
1454667656,23,17
1454754789,22,17
1454842095,20,16
1454929271,22,8
1455016437,18,10
1455103516,20,11
1455190605,19,20
1455277758,19,23
1455364876,14,14
1455451977,11,22
1455539088,22,20
1455626250,14,18
1455713351,24,17
1455800462,24,22
1455887597,23,22
1455974682,25,19
1456061865,10,24
1456148938,20,19
1456236084,16,13
1456323242,12,29
1456410371,30,27
1456497461,33,28
1456584603,23,22
1456671706,17,18
1456758838,29,22
1456845926,40,18
1456933051,34,25
1457020177,34,21
1457107315,27,27
1457194441,12,21
1457281536,17,23
1457368715,23,25
1457456035,29,20
1457543212,29,21
1457630630,24,18
1457717862,24,30
1457804988,17,19
1457892108,10,22
1457979234,25,17
1458066395,24,9
1458153749,23,21
1458241066,28,20
1458328189,51,21
1458415326,26,24
1458502449,22,20
1458589522,28,12
1458676666,28,13
1458763789,84,14
1458850820,63,11
1458937966,56,17
1459025081,21,23
1459112212,15,30
1459199687,53,17
1459287005,91,6
1459374378,50,17
1459461502,39,18
1459548639,53,21
1459635742,25,30
1459722969,18,22
1459810587,36,15
1459897804,28,16
1459985166,34,20
1460072268,27,18
1460159427,29,22
1460246581,22,21
1460334056,54,21
1460421250,28,14
1460508397,27,11
1460595739,21,26
1460682878,33,20
1460769935,27,14
1460857050,32,20
1460944186,17,47
1461031332,33,17
1461118432,16,17
